PC;Tamaño (nxn);Algoritmo;Lenguaje;Repetición;Tiempo (ns)
2;700;1;c++;1;0.8129
2;700;1;c++;1;0.8136
2;700;1;c++;1;0.8136
2;700;1;c++;1;0.8150
2;700;1;c++;1;0.8149
2;700;1;c++;1;0.8198
2;700;1;c++;1;0.8146
2;700;1;c++;1;0.8132
2;700;1;c++;1;0.8156
2;700;1;c++;1;0.8155
2;700;1;c++;1;0.8157
2;700;1;c++;1;0.8150
2;700;1;c++;1;0.8130
2;700;1;c++;1;0.8155
2;700;1;c++;1;0.8154
2;700;1;c++;1;0.8189
2;700;1;c++;1;0.8160
2;700;1;c++;1;0.8161
1;800;1;c++;1;0.7706
1;800;1;c++;1;0.8591
1;800;1;c++;1;0.8666
1;800;1;c++;1;0.9266
1;800;1;c++;1;0.8302
1;800;1;c++;1;0.7669
1;800;1;c++;1;0.7525
1;800;1;c++;1;0.7667
1;800;1;c++;1;0.8492
1;800;1;c++;1;0.7683
1;800;1;c++;1;0.7633
1;800;1;c++;1;0.7666
1;800;1;c++;1;0.7522
1;800;1;c++;1;0.7669
1;800;1;c++;1;0.7520
1;800;1;c++;1;0.8661
1;800;1;c++;1;0.8909
1;800;1;c++;1;0.8117
1;800;1;c++;1;0.8895
1;800;1;c++;1;0.8119
1;800;1;c++;1;0.8655
1;800;1;c++;1;0.8722
1;800;1;c++;1;0.7975
1;800;1;c++;1;0.7695
1;800;1;c++;1;0.9142
1;800;1;c++;1;0.8200
1;800;1;c++;1;0.7678
1;800;1;c++;1;0.7520
1;800;1;c++;1;0.7666
1;800;1;c++;1;0.7522
1;800;1;c++;1;0.7669
1;800;1;c++;1;0.7964
1;800;1;c++;1;0.8367
1;800;1;c++;1;0.8925
1;800;1;c++;1;0.7673
1;800;1;c++;1;0.8850
1;800;1;c++;1;0.7675
1;800;1;c++;1;0.7520
1;800;1;c++;1;0.7672
1;800;1;c++;1;0.7520
1;800;1;c++;1;0.8588
1;800;1;c++;1;0.7517
1;800;1;c++;1;0.7667
1;800;1;c++;1;0.7520
1;800;1;c++;1;0.7667
1;800;1;c++;1;0.7520
1;800;1;c++;1;0.7669
1;800;1;c++;1;0.7633
1;800;1;c++;1;0.7667
1;800;1;c++;1;0.7522
1;800;1;c++;1;0.7664
1;800;1;c++;1;0.7519
1;800;1;c++;1;0.8677
1;800;1;c++;1;0.7520
1;800;1;c++;1;0.7678
1;800;1;c++;1;0.8519
1;800;1;c++;1;0.7522
1;800;1;c++;1;0.7667
1;800;1;c++;1;0.7634
1;800;1;c++;1;0.7678
1;800;1;c++;1;0.7520
1;800;1;c++;1;0.7520
1;800;1;c++;1;0.7934
1;800;1;c++;1;0.7520
1;800;1;c++;1;0.7664
1;800;1;c++;1;0.7522
1;800;1;c++;1;0.7677
