PC;Tamaño (nxn);Algoritmo;Lenguaje;Repetición;Media;Varianza;Desviación;Tamaño muestra
1;400;4;c++;3;1.0417;0.0062;0.0786;0.3793
1;400;5;c++;3;0.8835;0.0032;0.0566;0.1969
1;500;5;go;1;2.4730;0.2070;0.4550;12.7300
1;800;5;go;1;2.3140;0.0030;0.0500;0.1570
1;500;1;go;1;2.5660;0.0040;0.0660;0.2640
1;1000;4;c++;3;1.0313;0.0006;0.0235;0.0340
1;1100;5;go;3;2.3180;0.0030;0.0530;0.1720
1;800;1;c++;3;0.7890;0.0011;0.0339;0.0705
1;1100;4;go;2;2.9570;0.0520;0.2280;3.2020
1;700;1;go;1;2.5720;0.0040;0.0620;0.2370
1;1000;2;go;1;3.2330;0.0100;0.0980;0.5940
1;500;3;c++;3;1.1973;0.0041;0.0639;0.2513
1;500;5;c++;1;0.8345;0.0038;0.0614;0.2315
1;400;4;go;3;2.9310;0.0090;0.0930;0.5330
1;1000;3;c++;3;1.4813;0.0007;0.0258;0.0410
1;800;4;c++;2;1.0338;0.0045;0.0673;0.2785
1;600;3;go;3;4.9420;0.0230;0.1520;1.4190
1;1000;1;c++;1;0.7898;0.0003;0.0185;0.0210
1;400;5;go;2;2.3650;0.0690;0.2630;4.2470
1;500;1;c++;2;0.7921;0.0057;0.0753;0.3485
1;800;3;c++;2;1.3533;0.0002;0.0151;0.0140
1;1100;3;go;1;11.4350;0.4450;0.6670;27.3480
1;600;2;go;3;3.2410;0.0040;0.0620;0.2390
1;400;1;go;2;2.6110;0.0310;0.1770;1.9290
1;500;1;go;2;2.5820;0.0020;0.0390;0.0960
1;1100;4;c++;2;1.0552;0.0011;0.0338;0.0702
1;500;1;go;3;2.5760;0.0030;0.0550;0.1890
1;600;5;go;3;2.3310;0.0010;0.0310;0.0600
1;700;4;c++;3;1.0368;0.0012;0.0341;0.0716
1;600;2;c++;1;1.0178;0.0056;0.0746;0.3417
1;1000;4;go;3;2.9730;0.0060;0.0740;0.3390
1;600;3;c++;2;1.3745;0.0032;0.0562;0.1943
1;1100;2;c++;3;1.1021;0.0021;0.0454;0.1264
1;600;1;go;3;2.5270;0.0070;0.0840;0.4320
1;400;4;c++;1;1.0559;0.0018;0.0425;0.1110
1;900;2;c++;3;1.0195;0.0079;0.0887;0.4832
1;900;1;c++;3;0.7974;0.0002;0.0138;0.0117
1;600;2;c++;3;1.0001;0.0025;0.0497;0.1516
1;900;3;go;1;5.4190;0.1300;0.3600;7.9670
1;900;4;c++;3;1.0344;0.0017;0.0411;0.1037
1;1000;2;c++;2;0.9935;0.0014;0.0373;0.0857
1;700;4;c++;2;1.0332;0.0004;0.0193;0.0228
1;400;2;go;3;3.2880;0.0440;0.2100;2.7000
1;1000;4;go;1;2.9220;0.0030;0.0520;0.1660
1;1100;5;c++;1;0.8935;0.0004;0.0189;0.0221
1;400;4;c++;2;1.0777;0.0108;0.1040;0.6645
1;800;4;c++;1;1.0289;0.0013;0.0360;0.0796
1;500;4;c++;1;1.0407;0.0042;0.0652;0.2612
1;1100;2;go;3;3.2420;0.0030;0.0590;0.2110
1;700;5;c++;2;0.8269;0.0032;0.0566;0.1967
1;1100;4;go;3;3.0950;0.1070;0.3270;6.5590
1;700;5;go;1;2.3410;0.0010;0.0330;0.0650
1;1100;5;c++;3;0.9088;0.0066;0.0814;0.4073
1;700;2;c++;2;1.0193;0.0052;0.0724;0.3221
1;900;4;go;1;2.9500;0.0020;0.0500;0.1510
1;400;3;go;3;4.9740;0.1020;0.3190;6.2440
1;1000;5;go;1;2.3290;0.0010;0.0380;0.0870
1;1000;3;go;1;5.2200;0.0350;0.1880;2.1790
